행정구역코드,시도명,시군구명,읍면동명,혼잡시간강도,혼잡빈도강도,전체추정교통량,등록차수,교통량,승용차 추정교통량,버스 추정교통량,화물차 추정교통량,주차장혼잡평균
1106088,서울특별시,동대문구,장안2동,55.29,27.24,15714,10665,1.473417722,12998,128,2588,42.71183801
1106089,서울특별시,동대문구,이문1동,60.63,34.97,12662,4081,3.102670914,10483,70,2109,19.59813084
1106090,서울특별시,동대문구,이문2동,60.39,46.68,17115,5343,3.203256597,13918,270,2927,76.59034268
1106091,서울특별시,동대문구,답십리1동,49.3,28.44,13887,3608,3.848946785,11355,105,2427,25.23520249
1107052,서울특별시,중랑구,면목2동,81.91,68.7,17668,7445,2.373136333,14617,316,2735,57.85825545
1107054,서울특별시,중랑구,면목4동,75.43,60.26,21275,5174,4.111905682,17577,382,3316,73.98364486
1107055,서울특별시,중랑구,면목5동,76.74,62.09,27842,4917,5.66239577,23081,374,4387,83.4228972
1107057,서울특별시,중랑구,면목7동,64.86,40.99,10110,6002,1.68443852,8817,71,1222,51.99221184
1107059,서울특별시,중랑구,상봉1동,59.19,33.12,10530,6059,1.737910546,9223,62,1245,47.4953271
1107060,서울특별시,중랑구,상봉2동,94.3,87.6,16203,10353,1.565053608,13850,111,2242,5.559190031
1107061,서울특별시,중랑구,중화1동,91.01,85.31,17201,10557,1.629345458,14770,116,2315,4.411214953
1107062,서울특별시,중랑구,중화2동,85.2,72.89,26259,16191,1.621826941,21194,582,4483,44.73676012
1107064,서울특별시,중랑구,묵1동,83.38,69.71,22424,10614,2.112681364,17871,273,4280,42.71183801
1107065,서울특별시,중랑구,묵2동,76.35,56.73,18794,9620,1.953638254,14977,412,3405,19.59813084
1107068,서울특별시,중랑구,망우3동,76.81,54.18,10304,5274,1.953735305,9157,63,1084,76.59034268
1107069,서울특별시,중랑구,신내1동,73.75,61.66,23765,12815,1.854467421,18309,422,5034,25.23520249
1107070,서울특별시,중랑구,신내2동,74.77,44.94,10853,6891,1.574952837,9584,66,1203,57.85825545
1107071,서울특별시,중랑구,면목본동,78.02,58.45,8979,8028,1.118460389,7965,52,962,73.98364486
1107072,서울특별시,중랑구,면목3·8동,68.83,40.34,11253,6075,1.852345679,9892,72,1289,83.4228972
1107073,서울특별시,중랑구,망우본동,87.33,80.67,16567,11189,1.480650639,13890,221,2456,51.99221184
1108058,서울특별시,성북구,돈암1동,58.42,30.36,13456,4161,3.23383802,11214,47,2195,47.4953271
1108059,서울특별시,성북구,돈암2동,40.4,27.99,3858,4588,0.840889276,3112,10,736,5.559190031
1108060,서울특별시,성북구,안암동,67.92,38.35,11120,4992,2.227564103,9067,50,2003,75.65109034
1108061,서울특별시,성북구,보문동,53.82,31.48,11442,7574,1.510694481,9236,48,2158,27.93068536
